AuthorId,PaperIds,Usage
39768,5505 8641 28045 68023 93488 100673 115843 154803 155087 156198 162121 200508 206613 216047 217454 223129 312197 322704 331742 367476 370220 385658 405042 423743 429315 432897 452266 494957 511397 523900 539687 547614 551615 553353 556341 589984 648483 710951 711258 730365 758183 766030 783061 818472 825836 871837 872311 879373 885347 918619 922526 928356 947393 958934 1036289 1061105 1069237 1102370 1114602 1123455 1124811 1133985 1156204 1157824 1195190 1219316 1229328 1235441 1240968 1245793 1285995 1289447 1347552 1367227 1382763 1396244 1399457 1406329 1428199 1430807 1466535 1466741 1489965 1494469 1498743 1502430 1527646 1559005 1592066 1595095 1628319 1730752 1751703 1754413 1762264 1771946 1802369 1845192 1859302 1884083 1902374 1937541 1942840 1972254 1974886 1975573 1984723 2050669 2059764 2106793 2112139 2126402 2126514 2139326 2175268 2182654 2185775 2208909 2232604 2236084,PublicTest
39798,18672 115064 376339 510673 519981 530891 544441 594947 666223 729457 729571 854512 1054247 1075626 1122961 1288620 1372592 1380258 1472026 1503521 1581995 1610722 1785282 1788489 1885187 1892653 1906933 1929774 1994858 2052980 2056173 2087449 2104288 2139329 2153956 2196869 2246046,PublicTest
40047,188576 324681 709733 847322 848122 945776 1012865 1045548 1099951 1116160 1133541 1141560 1152800 1738143 1815196 1914286 2039247 2101374 2171272,PublicTest
41009,56140 84587 114875 199656 246701 253685 261035 330114 336248 376081 428606 637278 643702 644357 656419 827041 863425 915032 926841 1029758 1138474 1225680 1258284 1308254 1375484 1474631 1492021 1503866 1531457 1573546 1592115 1698249 1819448 1862142 1934756 1956351 1994425 2034501 2038704 2080354 2097253 2124527 2228833 2234486,PublicTest
42126,347427 1220955,PublicTest
43172,1930617,PublicTest
45187,1130150 1409696 1725516 1831888 2041981 2202633,PublicTest
45333,727364 745629 807868 940748 1232699 1378776 1679112 2138460,PublicTest
46066,45403 85243 191453 407548 416649 586968 617071 634692 676015 721900 903284 946806 1082619 1157255 1197910 1282427 1283775 1365765 1434510 1846156 1863185 1897513 2041368 2094390 2095007 2110965,PublicTest
47017,456193 560441 669425 877613 1354570 1419410 1697978 1991326,PublicTest
47369,29415 32850 99953 102351 201550 212672 231443 249881 251616 263697 340409 356551 380110 393938 420376 510797 516439 557516 589471 615483 639550 662139 689535 693443 705880 718459 719123 758878 773117 955542 1005133 1042370 1060942 1123071 1140341 1189910 1235766 1242911 1268774 1282435 1426151 1457310 1541654 1621548 1637719 1689876 1710955 1716677 1760521 1863871 1880847 1919654 1985178 1988509 2036384 2090318 2209103 2220329 2237791,PublicTest
48271,1065 70394 76832 108702 174021 313931 314113 346168 347377 382740 391938 426043 429059 449905 558586 633157 838948 849724 881430 964690 981546 1098132 1105665 1128220 1223261 1284336 1378037 1430366 1459669 1460581 1641627 1697158 1725338 1735840 1960316 1990256 2021983 2058100 2088176 2119206 2189727 2221247 2222204 2235685 2236330,PublicTest
49667,3783 12067 13345 16133 20748 21119 27735 28726 37246 44527 47495 54715 80699 82169 86102 97909 97909 136623 148431 180518 184841 204997 232283 234361 238780 245054 250485 260137 261075 262895 264980 312405 327468 337864 359504 364105 376388 377178 397780 409809 419798 454790 466705 470373 509973 517713 525632 533190 540959 561424 585760 639206 647417 654185 665274 680091 719846 721843 730982 747534 760670 809433 809959 816501 818206 865125 875977 877931 890238 893588 900707 908541 912990 923212 929116 929825 936204 945082 972086 977869 980555 980847 982785 997624 1000333 1010505 1023691 1042525 1047858 1061980 1069444 1072787 1093688 1095604 1111728 1120884 1132114 1136275 1139304 1146818 1168107 1185950 1196826 1199173 1210045 1229525 1231121 1250513 1252479 1261390 1292873 1302330 1342355 1361498 1368947 1374938 1376818 1383421 1394357 1405986 1414100 1415837 1420963 1427066 1431544 1441793 1465919 1473525 1483691 1504815 1506605 1513802 1515523 1519809 1529230 1535917 1548339 1563584 1568542 1596002 1609920 1620473 1631232 1632161 1632830 1699309 1701999 1720149 1720255 1723026 1724960 1735677 1745252 1763689 1765050 1772048 1777208 1792259 1793141 1795964 1799617 1811349 1822721 1845901 1855325 1890896 1901108 1922507 1926287 1934227 1946799 1958227 1960578 1967976 1969981 2000546 2003564 2010532 2028427 2035256 2041399 2050315 2073712 2082191 2084082 2114734 2118385 2123826 2149537 2152849 2185612 2193064 2199700 2209437 2223491 2223838 2223852 2251494 2256552,PublicTest
53232,134973 550927 846279 1006823 1069844 1308604 2182817,PublicTest
53546,635509 1749472,PublicTest
54193,1822971 1827457,PublicTest
55472,11202 17361 92650 134697 138434 156996 200918 232138 288430 308175 335561 354173 368327 393454 453139 454243 544846 559776 587588 738880 776599 786870 803104 835997 837360 897505 920824 963163 975433 981661 1060266 1078971 1123073 1134653 1188759 1241629 1317519 1349412 1352228 1355808 1366664 1367497 1399406 1428205 1477393 1515044 1517046 1525050 1533072 1602426 1676979 1697554 1698561 1748387 1772803 1815125 1826645 1956071 1995332 2038399 2072329 2155857 2209704 2228030,PublicTest
57198,766207 921204 934805 1690790 1972414,PublicTest
57451,385955 631315 746153 1766217 1869921,PublicTest
58609,287053 324523 395704 514374 567989 815857 932459,PublicTest
61064,279685 551160 584130 746800 755182 984038 1041639 1074858 1772074 1956780 2075002 2130760,PublicTest
62984,7694 15533 17240 22245 36575 62138 65501 77274 130112 165351 169894 204531 210299 272790 316282 323767 332587 358853 418242 427191 432850 436903 452986 526406 567888 589321 614191 615926 621653 628586 629173 644802 673684 708274 752081 794620 875518 901384 938884 978906 995755 999211 1009242 1063899 1127084 1140592 1168906 1171898 1210726 1233619 1258404 1290378 1291998 1304305 1309805 1330683 1345739 1348410 1354952 1401535 1408384 1423808 1425746 1457155 1490095 1494324 1514879 1542586 1542763 1571576 1610740 1623697 1650258 1653130 1689537 1699311 1804732 1835622 1848846 1883810 1917068 1926166 1988262 2034939 2058602 2062401 2081382 2081944 2123749 2147903 2232688 2237096 2248521,PublicTest
63141,214528,PublicTest
68442,210286 274626 810278 1082885 1254384 1282045 1373192 1425866 1569877 1753187 1996627 2055801 2122432,PublicTest
68676,14131 17667 24020 51213 138789 142728 168632 191887 193345 209825 249506 261358 288177 291538 298942 351826 365443 380874 417263 417384 432673 503988 553983 618179 659146 830317 862059 863629 902644 903054 909594 956984 964232 972354 1027652 1051482 1067040 1075218 1085231 1091672 1114460 1138260 1163164 1277972 1281657 1312214 1350933 1356243 1379587 1439865 1454358 1458433 1462079 1553313 1610168 1610440 1634808 1722176 1725673 1773881 1778680 1792647 1886912 1914015 1938143 1947185 1949905 1993375 2032555 2036999 2037325 2075553 2076665 2108397 2241982,PublicTest
70311,278945 594914 1387164 1572872 1597169 1789018 1844708 1900560 2193762,PublicTest
71221,299530 649826 665014 1054673 1181738 1257102 1708272 1888630 1906331,PublicTest
72384,28190 69982 86576 300244 339600 435782 525382 715676 885239 904269 923067 982810 1037542 1121350 1178398 1370074 1564994 1649373 1756658 2002545 2019615 2097228 2193796 2224260 2228003 2244968 2257331,PublicTest
74859,179245 245139 249005 488107 488107 524562 592046 687725 710454 852203 875731 909362 1044183 1044426 1203866 1261356 1371642 1428726 1485533 1486393 1489831 1625277 1762955 1775592 1775592 1819639 1879774 1887843 1909010 1947409 1979144 2028109 2032968 2172540 2221657,PublicTest
76183,4296 15019 33337 178436 205760 250540 261456 266909 293840 302245 378637 402770 461152 488828 572744 581965 590305 621378 629541 662526 677842 687447 689286 699867 701999 776230 821196 823647 875865 897189 920306 969053 1055989 1091151 1117338 1120194 1208075 1223171 1297022 1309726 1380782 1491580 1533767 1545486 1580445 1596708 1644332 1646750 1673384 1737388 1827217 1856066 1923883 1967485 1985404 1992939 2006522 2045510 2061356 2087371 2088501 2156493 2177953 2213046 2244642,PublicTest
81218,17932 95529 466395 592457 621535 637258 649796 787167 807864 824722 886912 1365511 1401865 1454974 1475219 1505648 1793149 1865941 1969266 2250175,PublicTest
81405,5861 2128211,PublicTest
83883,154904 209626 468565 522539 541546 576293 602664 686633 861961 979020 988033 993092 1278185 1303865 1310594 1394629 1442933 1547214 1573163 1592275 1668682 1775979 2057878 2141816 2143797,PublicTest
84662,165665,PublicTest
86158,119330 208581 224975 325285 349852 415956 539183 733318 841990 971707 1019850 1047122 1128162 1219945 1440503 1656330 1682028 1752118 1794770 1882707 1889605 2042695,PublicTest
86266,494363 1269774,PublicTest
86845,46346 53772 63970 66924 69753 75377 100168 119646 146379 177583 191587 210036 267198 267516 299689 360584 399773 491203 498564 505925 553449 555805 557277 599510 632887 660744 663687 693241 718570 727812 748296 758010 767455 795189 802463 811840 834753 864662 870257 912730 971937 1038372 1062288 1076122 1086736 1097067 1101594 1102404 1113047 1118574 1119417 1122318 1128708 1145116 1149652 1155323 1227538 1259559 1302317 1322043 1349362 1358512 1367721 1368473 1424550 1424973 1444387 1458904 1474683 1482234 1561536 1638662 1644179 1763851 1807093 1812469 1863898 1872163 1897108 1916167 1917423 1948631 1952915 1976538 1992450 2003062 2035866 2156159 2158159 2196496 2205488 2211159 2212363,PublicTest
87120,524333,PublicTest
87934,42763 580976 858945 1006803 1213397 1358542 1370222 1708358 1773302 1842666 2075495,PublicTest
88969,1022306 1112655 1280237 1943414,PublicTest
89502,2725 18048 27640 38113 44929 69342 94961 120956 176469 185430 205240 237081 322316 327023 362742 377615 421965 461596 491717 492191 508917 527875 536483 547812 563493 587488 627865 639121 675069 680577 709014 718006 732160 775919 805184 854429 878184 932754 965975 1022973 1025855 1064655 1074071 1084478 1091416 1116508 1125364 1129163 1165361 1166152 1173994 1182451 1231478 1293040 1330466 1413889 1432775 1453140 1472861 1481723 1482956 1493012 1505857 1564192 1576338 1579271 1634053 1663976 1736183 1756027 1764250 1787011 1818617 1821964 1841150 1852463 1855542 1857355 1874328 1903947 1951363 1954636 1972583 2019797 2020729 2022521 2030054 2077511 2084053 2092397 2133334 2137975 2146798 2201385 2239190,PublicTest
91290,213278 311444 322407 440141 558235 630484 781421 895106 1083689 1298864 1442229 1473050 1565429 1613640 1653492 1690770 1722558 1747821 1777448 1783485 1836308 1987502 2013387 2066223,PublicTest
91563,48246 101197 326329 488039 515892 749807 1029390 1531509 1548193 1880074 1996260 2226539,PublicTest
92353,3654 19921 19998 24384 26426 27976 28722 30589 31023 32388 40560 41068 43051 43609 45988 46264 47152 47304 49251 49634 52249 55529 57103 57648 58158 59746 59850 61170 62423 63404 64648 64876 66702 72191 75048 78131 78678 79300 83374 85762 86419 91696 93264 95632 95860 96806 96971 99988 101589 103797 106456 106836 109089 110164 111536 112200 115427 115654 116490 119580 122567 123563 125832 126353 129689 131525 133952 136009 137250 143028 143614 144661 148919 150703 151316 151418 154257 155982 158105 162382 162396 162490 164165 165470 166034 166547 166793 167195 167650 170035 170481 171817 171889 171920 173154 173661 176567 176667 176952 176978 178009 180337 181215 184732 186290 186402 190655 191489 193611 199317 204486 205213 207978 208651 209810 210938 212689 214097 214919 214976 216062 217732 219731 220734 220821 224508 224651 229580 231576 234325 235672 236102 238554 240020 240344 241262 242138 243837 244704 246052 246161 247598 247601 249375 249932 250580 252726 253201 253597 254231 255860 259162 259680 260483 260899 262196 266824 271024 273787 273875 274768 274847 275620 276719 280429 286533 286672 288888 290620 291000 292292 294643 294875 295179 295275 296096 297387 299063 300155 304366 304633 305706 307766 310310 311375 311557 312032 312607 313114 316570 320677 322092 323472 328867 333447 333828 336312 336460 337513 338306 339776 339896 340506 340952 342088 342403 342779 343410 343899 348081 350237 351971 354853 356147 357837 359774 362026 363347 365237 369099 371997 373936 374738 375185 377007 379538 379943 381217 384395 386173 390122 391362 394113 394886 395938 396252 398667 403081 403483 408795 409783 410302 410924 411089 411352 413117 413827 414153 416796 417458 420325 421705 424070 429693 431146 431713 431828 432400 432887 434406 435804 435809 436381 437857 440232 441196 444418 444927 446032 446344 446695 447652 452429 455523 457203 457528 457687 461446 464289 470977 475764 476615 480548 480593 480907 482369 482593 483403 484840 485872 489554 490534 490904 493260 494143 494976 499220 500046 500461 503511 504564 504641 507770 509857 513196 513387 513978 514221 515603 517415 519062 519276 522004 523086 525756 525920 536792 537515 539604 542913 543020 543151 543678 546007 549319 551283 551298 553065 554001 555259 556180 556313 556386 559028 559645 561066 561732 562340 562634 563893 565065 565243 567137 568590 568632 568874 572497 572731 575870 576446 579934 581846 582900 583230 584083 584987 585462 588359 590667 591742 592899 593315 593907 595917 598905 599147 599988 600290 601192 601533 601797 603855 607482 608998 612138 615682 617349 617420 620292 622520 628621 631375 632820 636517 638612 638701 640641 642651 643454 645179 645731 649210 649832 649902 653179 654149 657279 662402 663342 664251 666086 668215 670280 670384 670831 673342 675747 677261 678769 679019 680674 680782 681116 685098 685925 687006 687459 690539 693828 694900 695272 695292 696869 697449 697818 698199 701154 703285 711487 711610 714186 714803 716511 718046 719768 723001 723589 728666 729885 732584 736247 736918 737709 748265 748605 749315 750636 751892 752606 756102 756889 761525 765864 767631 770917 771702 774303 775512 779109 784482 785091 788501 789603 790074 792290 792422 792703 793187 794173 795116 796179 800862 801147 802008 807989 809717 810208 811346 814428 815445 816538 817634 818031 818967 822239 823616 830324 831166 831806 831983 832705 833008 838084 842204 843141 843281 844624 844688 844994 845205 847841 851507 853063 853813 854122 856651 857412 858628 868255 869522 870211 870308 871456 871669 873955 875572 876116 876626 877803 878728 881449 882061 883105 883463 884249 885055 885211 885930 887152 891408 891824 895689 897280 897415 897915 899510 901513 902994 905801 909945 910696 912691 913544 913719 914529 915556 918761 919449 921179 927069 928083 931547 932088 939347 939838 941248 945939 946429 946823 947566 947876 949323 950150 952685 952866 953354 953558 954663 957460 957857 960742 961576 962240 963963 965199 966129 967508 971284 971377 971649 971875 974378 975324 976150 976204 978638 984673 984872 986666 992527 992661 993501 997255 998196 998451 1000637 1000692 1002955 1003764 1005623 1007140 1007930 1008208 1008407 1008836 1010068 1014535 1016340 1016824 1018609 1019456 1020426 1020478 1020716 1024479 1025571 1025859 1028343 1028365 1029353 1029488 1033057 1034074 1036841 1040303 1040316 1042717 1045719 1046667 1048575 1051489 1052490 1056203 1058239 1059355 1059702 1060793 1062029 1063193 1070190 1077172 1079005 1080907 1081117 1081684 1082928 1083749 1085200 1085306 1089330 1089557 1090221 1094303 1098589 1098900 1101012 1101226 1101630 1102934 1103080 1105385 1106260 1106998 1109847 1110397 1110686 1114506 1114822 1115509 1117410 1117870 1119376 1120254 1130644 1131819 1138028 1138866 1140121 1141748 1142996 1143698 1145151 1146918 1147377 1149941 1150043 1151036 1151192 1153847 1155746 1156872 1160995 1163144 1167039 1167628 1168750 1170090 1171589 1172005 1180003 1180999 1181551 1183152 1183576 1183803 1184198 1184425 1185092 1189962 1190128 1191350 1194597 1197797 1198607 1199809 1202105 1204163 1209240 1210300 1211334 1213959 1216279 1216856 1218047 1220437 1222036 1222227 1230440 1230525 1231567 1232438 1240091 1240233 1240773 1243720 1248167 1250373 1251016 1251305 1253170 1255431 1257198 1258691 1261336 1266098 1266824 1267284 1269531 1270013 1271061 1271132 1275632 1276506 1280205 1282275 1283038 1284261 1284483 1284621 1286145 1286427 1290261 1292252 1294912 1297606 1298749 1302318 1303915 1304009 1304683 1304868 1305458 1306295 1306879 1314372 1314802 1317294 1319786 1320704 1321550 1324219 1325305 1327478 1327843 1330225 1330252 1330367 1330918 1333431 1334398 1340034 1342128 1342972 1343870 1345064 1345824 1345943 1350991 1351303 1354071 1354683 1354752 1355383 1358282 1359327 1359365 1360963 1364167 1365450 1366213 1366419 1366841 1367574 1369870 1373608 1374010 1378579 1378601 1380692 1382636 1382769 1386472 1389472 1390356 1395288 1395599 1397793 1399237 1399614 1400353 1400426 1406293 1406343 1406514 1407143 1408562 1410179 1412247 1413057 1413076 1415224 1418082 1418577 1422654 1423616 1424032 1425075 1425401 1425460 1427020 1429731 1430703 1431755 1432140 1432182 1434765 1438147 1439921 1440817 1443419 1444526 1452199 1452497 1453027 1454305 1454452 1456286 1456462 1456646 1456936 1458158 1458672 1459566 1460840 1460882 1461259 1467387 1468936 1484875 1486344 1486473 1488887 1489559 1491009 1491841 1497477 1499950 1500128 1500254 1501991 1506258 1508728 1508762 1512841 1516917 1517560 1518750 1520721 1523132 1523741 1523866 1524613 1525351 1526530 1532700 1536609 1537260 1537324 1540129 1542624 1544123 1546569 1547767 1548844 1549230 1551094 1551699 1553354 1556457 1557391 1562449 1563101 1570111 1572066 1572127 1573527 1573732 1575590 1577930 1580220 1580686 1585640 1587815 1587982 1588710 1590817 1592889 1594726 1599160 1600263 1601200 1606956 1607980 1609923 1609926 1616607 1620103 1620534 1625553 1625976 1627905 1629117 1629193 1629392 1629797 1629888 1630255 1632555 1632561 1633629 1634431 1634577 1639078 1641198 1641477 1645114 1645829 1647760 1650836 1654408 1655807 1657083 1658266 1660021 1664996 1668228 1669474 1671259 1674139 1679638 1679884 1681325 1688202 1691763 1692920 1692959 1693569 1694541 1695349 1696750 1698068 1699085 1699217 1701487 1701885 1704000 1704831 1707084 1712301 1712749 1715494 1716805 1717389 1721707 1722291 1725788 1726088 1726959 1727899 1728273 1732190 1733824 1735140 1738750 1739192 1739201 1742718 1745713 1746016 1748634 1750551 1751712 1751973 1754574 1755345 1756228 1756813 1757058 1759153 1760134 1761916 1763272 1765157 1766046 1769974 1772244 1776790 1779538 1781237 1782442 1787466 1788904 1789259 1791820 1792198 1799744 1800914 1801211 1801248 1801652 1804502 1804644 1807697 1811500 1813303 1813364 1813470 1814587 1815991 1818097 1818954 1825452 1828904 1829445 1831048 1831863 1832243 1833264 1836890 1837720 1839012 1839098 1840974 1841698 1842518 1843648 1845544 1846280 1849512 1849582 1853248 1853667 1856060 1856122 1856488 1856544 1858127 1858147 1859313 1861632 1862187 1862249 1862805 1863412 1863587 1864845 1867755 1870366 1870397 1871695 1874179 1875823 1876671 1878685 1879639 1881208 1882702 1884924 1885020 1887699 1888611 1889865 1890769 1895028 1900343 1901524 1901838 1906564 1910088 1910255 1911824 1917304 1918151 1921474 1922231 1922613 1923159 1924374 1926441 1927069 1928900 1929250 1929399 1931475 1934273 1937495 1938679 1938865 1941960 1943577 1943637 1945498 1947107 1947215 1948613 1950781 1954951 1957237 1957465 1958290 1961553 1962853 1963514 1966709 1967874 1969484 1971064 1973703 1973982 1974780 1975740 1981901 1982902 1983807 1987376 1988029 1990648 1992951 1993263 1993946 1998438 1999070 2000513 2000682 2002204 2005840 2006470 2009367 2009372 2009494 2011429 2023337 2024097 2024802 2025541 2026151 2026721 2026786 2029161 2031255 2032644 2033902 2034638 2038979 2038984 2040682 2042137 2042575 2043465 2044286 2045514 2046855 2051721 2052104 2052774 2053036 2057083 2059625 2059796 2062014 2062252 2063183 2063456 2066326 2066644 2067642 2068538 2069758 2070192 2072880 2072953 2073875 2075391 2075874 2076260 2079163 2079458 2080844 2082094 2086341 2091117 2092249 2092481 2093026 2093905 2094328 2095486 2095913 2098637 2099252 2099291 2100964 2101413 2102885 2103822 2106181 2108376 2109148 2109502 2109785 2110540 2111914 2112627 2112746 2112951 2113651 2114709 2114823 2116464 2125773 2127979 2130517 2133575 2133655 2134341 2140673 2143424 2144427 2150979 2151245 2152863 2153989 2154361 2155942 2156439 2156748 2163866 2164153 2164388 2166402 2168475 2168572 2169635 2175566 2176608 2177908 2179411 2179748 2179804 2180194 2181038 2183107 2189810 2190412 2191000 2196141 2198960 2201323 2202245 2204178 2208801 2209185 2219282 2220464 2224581 2225011 2225929 2226215 2227200 2228142 2230627 2232001 2237239 2238989 2241182 2241923 2243660 2246915 2247038 2248862 2251469 2254005 2257207 2258971,PublicTest
95331,40355 92011 98127 98578 138687 141582 159590 166324 173390 183918 184420 191195 235134 271793 283738 307238 365361 389373 400839 426313 435102 487852 538329 569482 584895 612024 650240 733146 750059 756200 782040 798194 830685 845377 847337 909479 924883 958450 1018949 1050966 1072771 1125692 1131380 1252955 1255961 1271804 1298738 1300734 1344342 1368955 1394885 1400541 1415839 1436335 1438710 1442566 1452494 1499956 1544601 1590756 1625042 1720481 1741674 1742769 1749823 1762622 1833705 1840719 1842954 1908951 1909766 1948918 1955552 1985431 1987360 1996404 2011812 2020425 2022271 2067351 2086166 2090862 2158685 2216019 2237251 2242999,PublicTest
96229,101711 146370 254945 461476 718008 1431039 1724006 2148955,PublicTest
97012,132632 133120 195234 200852 302881 308730 492722 498683 510149 525765 557753 569959 595500 618420 619216 648589 659897 673188 705076 786465 792919 828514 986530 1070813 1080723 1097126 1121207 1123119 1197624 1246045 1329579 1332998 1343162 1380599 1427248 1561171 1827519 1923510 1997216 2028281 2092455 2098741 2139919 2198558 2207120 2256172,PublicTest
97181,222454 644518 1605929 1687261,PublicTest
102270,55829 116220 128343 139695 189501 650529 658679 683344 842867 1414874 1529988 1569102 1789508 1796826 1820724 1971667 2096034 2112220,PublicTest
102712,127723 410508 433658 456739 683440 694857 1614855 2028558 2241531,PublicTest
104031,441930 872487 982313 1458627 1804088 1955213,PublicTest
104117,152505 157408 158556 270231 336010 522577 652311 863811 1072509 1173351 1297765 1303099 1727695 1969325 2233480,PublicTest
105170,185680 203437 206997 239943 296803 436588 456267 518890 536423 571062 583609 667629 670799 737774 1014040 1099243 1111165 1194814 1222706 1229438 1278209 1412152 1470661 1475437 1585915 1881327 1913308 2037037 2078266 2108389 2191170 2225943,PublicTest
106848,97105 127245 164596 310797 362585 462998 525538 634144 640399 673798 685175 725827 742547 749265 752769 811242 898738 993779 1076495 1083010 1091510 1108740 1109605 1118631 1150879 1179794 1195871 1205770 1229872 1258081 1343238 1344797 1449546 1490811 1495917 1519091 1542259 1596063 1638557 1693345 1726360 1741402 1761410 1856114 1900310 1902642 1913631 1963270 1988972 2000352 2022541 2077303 2107550 2123988 2136682 2186438 2197353 2220982 2230863 2257827,PublicTest
107485,559431 1967596 2201065,PublicTest
108649,17639 207396 390517 430408 535120 556596 870398 1030715 1119993 1144523 1429225 1463651 1486951 1536810 1695561 1709228 1780986 1991643 2095891 2110317 2229623,PublicTest
108908,257150 615125 922431 1244063 1564313 2219049,PublicTest
108927,3546 38134 46077 60463 62827 70349 82004 89234 109313 114655 143454 156390 171168 210680 216914 247820 339241 426263 444892 462894 473367 496116 520160 527541 540373 562956 606772 634012 666422 672895 687319 687577 691924 730563 758523 766789 778259 803933 816516 820474 869070 879601 880568 883319 901608 917976 936035 968236 970378 973567 987659 988722 991935 1058283 1080714 1089734 1091955 1105196 1108351 1117405 1127913 1137110 1187511 1189147 1193283 1195682 1201370 1211883 1244586 1261874 1265954 1267238 1283869 1284604 1301577 1302991 1316511 1351718 1359922 1359956 1373823 1382739 1396249 1459683 1480828 1508200 1511104 1516072 1611779 1613702 1636250 1646055 1653792 1677741 1689917 1700362 1722809 1750192 1751121 1775138 1783525 1806885 1809993 1934753 1938698 1948733 1950042 1968989 1979049 2002625 2021016 2032598 2037652 2047172 2103767 2117009 2123229 2134978 2145585 2152011 2182617 2201919 2207708 2213976 2219320 2234900 2239065,PublicTest
113774,84923 312100 584887 1219763 1430326 1596265 2212594,PublicTest
114127,57571 77813 94415 118229 313699 375096 383264 418237 437408 438833 442539 464364 483272 525046 542010 560490 623807 650577 670231 784219 812938 852328 853257 889575 1001097 1088747 1094842 1121008 1168618 1209407 1268472 1307649 1425175 1459798 1507074 1669096 1780090 1840915 1916458 1923693 1933018 1962830 2014576 2051769 2083136 2160367 2176087 2215286 2222538 2230760,PublicTest
118905,152131 758616 1658805,PublicTest
119326,39466 1006514 1353908 1397372 1452395 1801404 2177209,PublicTest
